word	freq	
i	322041
ka	310362
ke	132437
ia	102421
ma	83400
ua	74463
mai	69795
na	63115
ʻo	62893
mea	57555
ana	57070
nā	55022
aku	51350
ai	44639
mau	40750
kona	40478
ko	31608
kekahi	31082
la	29371
ʻia	28977
nō	27863
ʻana	26490
iā	24986
nui	24141
hana	23992
hoʻi	23666
nei	23387
loa	19933
pau	19009
lākou	18788
kanaka	17690
kēia	17439
keia	17008
pono	16691
hawaiʻi	16625
hiki	16200
iho	16129
lakou	15911
hele	15813
au	15802
oia	15180
hoi	14856
aliʻi	14224
aole	14001
wahi	13953
akula	13583
hawaii	13483
noho	13388
poʻe	12980
ʻoe	12925
ʻōlelo	12837
make	12785
ae	12513
mua	12024
lā	11962
ʻaʻole	11621
wale	11601
hou	11573
keiki	11440
poe	11107
luna	11040
honolulu	11014
kamehameha	10940
hale	10225
paha	10210
akua	10207
loko	9850
maui	9735
ole	9622
aloha	9521
kahi	9429
manawa	9375
kaua	9295
olelo	9162
ʻāina	9138
maila	9007
kumu	8876
ʻike	8823
ʻole	8685
laila	8652
kou	7971
ihola	7558
ike	7446
wahine	7320
aina	7248
manao	7065
kēlā	7028
aʻe	7000
aia	6959
lilo	6952
ʻoukou	6885
iloko	6563
holo	6534
ina	6521
hewa	6483
kau	6411
aʻela	6398
aupuni	6377
lawe	6364
oe	6346
wai	6268
pū	6194
koa	6142
inoa	5978
kela	5973
kai	5940
ano	5886
kāna	5882
ʻano	5857
koʻu	5751
eia	5718
makahiki	5591
moku	5584
ola	5567
ku	5562
hai	5561
manaʻo	5477
waiwai	5452
kānaka	5392
iaʻu	5367
wa	5355
nana	5164
pili	5139
aka	5122
pu	5072
lāua	5056
lima	5053
kana	5038
kula	5011
kā	5000
ao	4981
kāne	4858
loaa	4856
ʻī	4838
lahaina	4813
ona	4760
moʻolelo	4745
iēhova	4684
helu	4647
komo	4596
leo	4535
palapala	4514
aoao	4489
ha	4462
alaila	4436
oʻahu	4429
makemake	4420
aha	4352
maka	4328
hilo	4315
ʻai	4271
alii	4264
hui	4238
ikaika	4233
akā	4174
mākou	4170
lohe	4140
ala	4136
kapa	4082
maluna	4026
papa	3997
loaʻa	3977
wā	3927
kauoha	3879
laua	3873
kino	3866
kuʻu	3856
kākou	3855
kū	3746
makua	3736
pela	3734
puka	3728
haku	3727
kakou	3645
hala	3597
koke	3531
nolaila	3454
ʻaoʻao	3439
inā	3423
mana	3423
maikai	3393
hua	3386
hōʻike	3366
huli	3315
oukou	3290
hāʻawi	3286
lani	3255
mele	3241
naʻe	3207
kahiko	3150
kanawai	3129
wau	3115
nae	3115
maoli	3099
lalo	3072
moe	3069
elua	3068
kahuna	3067
anei	3055
kapu	3016
hoike	3013
nona	2980
malama	2975
ʻē	2960
ʻohana	2960
kuu	2950
nānā	2949
oahu	2948
paa	2856
pule	2821
iki	2812
waiho	2812
mahope	2808
hookahi	2790
pane	2783
mamua	2747
maopopo	2744
pehea	2743
hoa	2740
nāna	2737
honua	2708
kauaʻi	2704
paʻa	2672
maikaʻi	2669
ii	2646
nani	2646
kaʻu	2640
ʻae	2640
haawi	2610
pēlā	2586
kaulana	2550
pua	2518
mālama	2494
waena	2485
lua	2425
kāu	2408
makou	2379
uku	2364
kuai	2363
kuleana	2361
kiʻi	2340
mōʻī	2322
penei	2320
hoʻokahi	2309
malaila	2296
po	2293
dala	2291
kane	2291
aʻo	2275
heiau	2259
haʻi	2255
waʻa	2253
buke	2206
ʻelua	2195
lele	2189
io	2175
iesu	2172
koe	2172
lei	2170
imua	2158
mauka	2153
manu	2138
kohala	2135
uka	2117
taro	2113
ho	2061
ino	2047
malalo	2046
kaha	2029
huina	2023
pa	2013
pali	2012
ʻiseraʻela	2011
ahi	2002
mauna	1986
mokuna	1983
lāʻau	1971
pepehi	1969
pōhaku	1958
pā	1945
haole	1935
mahele	1927
kokoke	1925
pauahi	1910
heaha	1910
hula	1894
kānāwai	1882
pio	1877
iwi	1875
ehia	1872
muli	1866
kōkua	1856
hapa	1855
piha	1850
alanui	1819
noi	1806
puke	1802
pae	1802
imi	1797
makai	1789
hoopii	1776
lio	1776
kaumaha	1769
oi	1761
akamai	1758
makani	1755
hānau	1744
kauai	1743
aʻu	1738
puni	1732
kaikamahine	1724
pololei	1720
maloko	1720
koko	1702
kalo	1698
puna	1693
ʻoiai	1693
alo	1691
lāhui	1689
kahua	1688
ulu	1682
mamuli	1681
lono	1680
wailuku	1677
pahu	1673
pō	1643
ʻaʻohe	1628
hema	1628
oiaio	1619
pilikia	1609
kahu	1608
molokaʻi	1596
puu	1585
nuuanu	1581
pele	1580
kulanakauhale	1570
holoholona	1565
āna	1563
waha	1560
nīnau	1546
hea	1546
iʻa	1545
ʻimi	1543
ʻino	1539
laau	1536
kamaʻilio	1533
ili	1532
heluhelu	1532
hora	1532
mamo	1526
kūpuna	1522
hihia	1521
moi	1513
kākau	1512
kala	1509
ʻaha	1501
de	1500
iii	1498
kakau	1494
oiai	1481
waho	1479
lanakila	1477
waimea	1477
malihini	1451
moana	1448
naau	1444
lau	1439
mahalo	1438
kauaʻula	1428
ou	1427
oleloia	1425
oʻu	1424
lehulehu	1422
okoa	1421
kaula	1417
kiekie	1415
naʻau	1414
kapaia	1402
kii	1398
inu	1384
ʻaʻ	1379
kokua	1377
eha	1355
koho	1350
makaua	1343
iaia	1339
ʻoi	1328
māhele	1316
kiʻekiʻe	1316
malu	1313
kūpono	1309
pukui	1304
kāua	1301
haalele	1285
hina	1283
kuhina	1273
ʻiʻo	1270
hānai	1259
iudaio	1250
tausani	1243
ʻoiaʻiʻo	1242
mā	1238
makau	1237
poʻo	1233
mōhai	1230
hikina	1229
kakahiaka	1227
akau	1219
hanohano	1214
puʻu	1214
mose	1213
mokupuni	1209
puali	1208
emi	1207
uuku	1205
mo	1205
makuahine	1198
haʻalele	1196
kani	1193
kua	1192
beretania	1190
ninau	1186
ekolu	1175
hoʻouna	1158
hahai	1154
kūlana	1147
lehua	1146
baibala	1140
ki	1139
hao	1134
kūlanakauhale	1131
kukui	1129
piʻi	1114
hōʻea	1111
roma	1110
wehe	1107
uhane	1105
kaluanui	1103
hooholo	1102
ea	1083
hanau	1081
aohe	1080
paʻi	1080
kanu	1078
hawai	1077
kailua	1076
kupono	1070
lepo	1067
hau	1066
kupuna	1066
molokai	1065
iluna	1063
kaʻeo	1062
makaʻāinana	1059
poi	1057
hoʻolohe	1050
alakaʻi	1049
ohana	1049
kauwā	1045
kāhea	1042
auaneʻi	1040
oihana	1037
ʻoihana	1037
kūkulu	1036
pauku	1027
hoʻomaka	1026
umi	1015
liholiho	1009
ʻuhane	1009
koi	1009
puhi	1007
dāvida	1007
pinepine	1006
poo	1003
ʻumi	1003
hemolele	998
mākaukau	996
ahiahi	994
hoʻoponopono	993
apana	993
olowalu	992
oluolu	986
mākua	985
pomaikai	984
maʻi	984
huakaʻi	980
makaʻu	969
hanaia	968
alakai	966
naita	966
pakele	963
ahupuaʻa	962
loihi	960
pii	955
oli	951
hoahānau	950
hoakaka	950
aie	949
hoolilo	948
nou	946
ʻekolu	945
noʻonoʻo	938
hooko	937
kaʻahumanu	932
ierusalema	929
palena	928
muliwai	927
noonoo	926
ilaila	925
kuhikuhi	924
halawai	918
ahupuaa	910
luku	907
wāwae	906
naauao	902
iosepa	899
kālā	896
naʻauao	895
bipi	890
hoʻomaopopo	890
kamakau	890
kaa	889
tūtū	889
ihe	885
lii	884
nalu	883
wawae	882
haipule	880
ʻaneʻi	877
konohiki	874
iuda	873
nele	872
lōʻihi	871
hipa	870
awa	864
mawaena	862
