word,definition
a‘alolo,(ke) a‘alolo nerve.
a‘alolo,(ke) a‘alolo nerve.
word,"‘ōle’lŏ, huă‘ōle’lŏ."
word,"‘ōle’lŏ, huă‘ōle’lŏ."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
‘a,(ke) ‘a broken lava.
a,"of, to, at."
a,"of, to, at."
‘a,to burn.
‘a,to burn.
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
‘a,(ke) ‘a broken lava.
a,"of, to, at."
a,"of, to, at."
‘a,to burn.
‘a,to burn.
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
‘a,(ke) ‘a broken lava.
a,"of, to, at."
a,"of, to, at."
‘a,to burn.
‘a,to burn.
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
‘a,(ke) ‘a broken lava.
a,"of, to, at."
a,"of, to, at."
‘a,to burn.
‘a,to burn.
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
‘a,(ke) ‘a broken lava.
a,"of, to, at."
a,"of, to, at."
‘a,to burn.
‘a,to burn.
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
‘a,(ke) ‘a broken lava.
a,"of, to, at."
a,"of, to, at."
‘a,to burn.
‘a,to burn.
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
‘a,(ke) ‘a broken lava.
a,"of, to, at."
a,"of, to, at."
‘a,to burn.
‘a,to burn.
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
‘a,(ke) ‘a broken lava.
a,"of, to, at."
a,"of, to, at."
‘a,to burn.
‘a,to burn.
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
‘a,(ke) ‘a broken lava.
a,"of, to, at."
a,"of, to, at."
‘a,to burn.
‘a,to burn.
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
‘a,(ke) ‘a broken lava.
a,"of, to, at."
a,"of, to, at."
‘a,to burn.
‘a,to burn.
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a,"an, kekă'hĭ, kă'hĭ, hŏ'ŏkă'hĭ, he."
a’,(ke) a’ jaw.
a’,(ke) a’ jaw.
‘a,(ke) ‘a broken lava.
