word,definition
ʻaʻalo,To dodge this way and that; to dodge a stone. A more common spelling is ʻalo. (1 Sam. 18:11.)
ʻaʻalo,To dodge this way and that; to dodge a stone. A more common spelling is ʻalo. (1 Sam. 18:11.)
aʻa lole,"Clothlike material that grows at the base of the coconut fronds. Other palms produce the aʻa loulu, a name applied later to woven foreign cloth. Kauai natives first gave this name to cloth. Also called ʻaʻa niu."
aʻa lole,"Clothlike material that grows at the base of the coconut fronds. Other palms produce the aʻa loulu, a name applied later to woven foreign cloth. Kauai natives first gave this name to cloth. Also called ʻaʻa niu."
aʻalolo,"Nerve. Lit., vein brain."
aʻalolo,"Nerve. Lit., vein brain."
ʻaʻalu,"Ravine, small brook or valley."
ʻaʻalu,"Ravine, small brook or valley."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ā,Jawbone.
ā,Jawbone.
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ā,Jawbone.
ā,Jawbone.
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ā,Jawbone.
ā,Jawbone.
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ā,Jawbone.
ā,Jawbone.
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ā,Jawbone.
ā,Jawbone.
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ā,Jawbone.
ā,Jawbone.
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ā,Jawbone.
ā,Jawbone.
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ā,"Young of the Hawaiian dascyllus, a demoiselle (Dascyllus albisella). Also called ʻaʻā. For the adult fish, see ʻaloʻiloʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ʻā,Red footed booby (Sula sula rubripes). Nests on Kauaʻi and Oʻahu and offshore islets. It is mostly white except for its webbed feet. 2. Brown booby (Sula leucogaster plotus. See ʻā ai anuhe a Kāne. 3. Masked or blue-faced booby (Sula personata dactylatra). All three may also be called ʻāʻā. Their range is throughout the tropical Pacific.
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ā,"This honeyeater (Moho braccatus), also known as ʻōʻō, was famed for its far-heard, beautiful call, but is now extinct. This is also the name of the dwarf ʻōʻō, an endangered species found only on Kauaʻi."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ʻā,"Anger. Ua hoʻa ʻia kona ʻā, his anger was aroused."
ā,Jawbone.
ā,Jawbone.
