word,definition
ʻaʻalu,"1. A ravine or small depression (HE) (T) (PE). 2. Small stream (PE). 3. Valley (PE). 4. A ravine; a small brook, valley or ravine; a slight depression (AP)."
ʻaʻalu,"1. A ravine or small depression (HE) (T) (PE). 2. Small stream (PE). 3. Valley (PE). 4. A ravine; a small brook, valley or ravine; a slight depression (AP)."
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
A.,A. 1. Abbreviation for ʻĀkau (North) (PE). 2. And (PE).
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
aʻā,1. Rough broken lava; stony (HE) (T) (PE).<br>2. Abounding with lava; ground rough with broken lava (AP).<br> Papa helu loli
ʻaʻaho,The small sticks to which thatching is tied (AP).
ʻaʻaho,The small sticks to which thatching is tied (AP).
ʻaʻaho,The small sticks to which thatching is tied (AP).
ʻaʻaho,The small sticks to which thatching is tied (AP).
ʻaʻai,"Erosion; the action of the surf at high tide, when dashing to shore and then receding, thus wearing away the gravel (AP)."
ʻaʻai,"Erosion; the action of the surf at high tide, when dashing to shore and then receding, thus wearing away the gravel (AP)."
ʻaʻai,"Erosion; the action of the surf at high tide, when dashing to shore and then receding, thus wearing away the gravel (AP)."
ʻaʻai,"Erosion; the action of the surf at high tide, when dashing to shore and then receding, thus wearing away the gravel (AP)."
ʻaʻai,"Erosion; the action of the surf at high tide, when dashing to shore and then receding, thus wearing away the gravel (AP)."
ʻaʻai,"Erosion; the action of the surf at high tide, when dashing to shore and then receding, thus wearing away the gravel (AP)."
ʻaʻaka,"1. Dry as coral of the reef at low tide (AP)(PE). 2. A rocky undersea cavern (PE). Also, mimilo (SMK)."
ʻaʻaka,"1. Dry as coral of the reef at low tide (AP)(PE). 2. A rocky undersea cavern (PE). Also, mimilo (SMK)."
ʻaʻaka,"1. Dry as coral of the reef at low tide (AP)(PE). 2. A rocky undersea cavern (PE). Also, mimilo (SMK)."
ʻaʻaka,"1. Dry as coral of the reef at low tide (AP)(PE). 2. A rocky undersea cavern (PE). Also, mimilo (SMK)."
ʻaʻaka,"1. Dry as coral of the reef at low tide (AP)(PE). 2. A rocky undersea cavern (PE). Also, mimilo (SMK)."
ʻaʻaka,"1. Dry as coral of the reef at low tide (AP)(PE). 2. A rocky undersea cavern (PE). Also, mimilo (SMK)."
ʻaʻaka,"1. Dry as coral of the reef at low tide (AP)(PE). 2. A rocky undersea cavern (PE). Also, mimilo (SMK)."
ʻaʻaka,"1. Dry as coral of the reef at low tide (AP)(PE). 2. A rocky undersea cavern (PE). Also, mimilo (SMK)."
ʻaʻalu,"1. A ravine or small depression (HE) (T) (PE). 2. Small stream (PE). 3. Valley (PE). 4. A ravine; a small brook, valley or ravine; a slight depression (AP)."
ʻaʻalu,"1. A ravine or small depression (HE) (T) (PE). 2. Small stream (PE). 3. Valley (PE). 4. A ravine; a small brook, valley or ravine; a slight depression (AP)."
aʻa pele,Volcanic lava or flow (PE).
aʻa pele,Volcanic lava or flow (PE).
aʻā puʻupuʻu,Sharp or waterworn coarse gravel or rock (PE).<br> Nā Lepili <br> Tags: geology <br> Papa helu loli
aʻā puʻupuʻu,Sharp or waterworn coarse gravel or rock (PE).<br> Nā Lepili <br> Tags: geology <br> Papa helu loli
aʻā puʻupuʻu,Sharp or waterworn coarse gravel or rock (PE).<br> Nā Lepili <br> Tags: geology <br> Papa helu loli
