word,definition
"Aalo  (ā-ă'-lo),  v.","To dodge often; to dodge, as one does a stone."
"Aalo  (ā-ă'-lo),  v.","To dodge often; to dodge, as one does a stone."
aalolo,"[Aa and lolo, the brain.] n., A nerve; aalolo hoao. Aalolo lohe, the auditory nerve.<br>AAL 25 AAU<br> Nā Lepili <br> Tags: anatomy <br> Papa helu loli"
aalolo,"[Aa and lolo, the brain.] n., A nerve; aalolo hoao. Aalolo lohe, the auditory nerve.<br>AAL 25 AAU<br> Nā Lepili <br> Tags: anatomy <br> Papa helu loli"
"Aalu  (ā-ă'-lu),  n.","[Dim. of alu.] A ravine; a small brook, valley or ravine; a slight depression."
"Aalu  (ā-ă'-lu),  n.","[Dim. of alu.] A ravine; a small brook, valley or ravine; a slight depression."
a,"1. v., To burn, as a fire: ua a mai ke ahi, the fire burns; ua a mai ke ahi ma ka waha; the fire burned in their mouths.<br>2. v., To burn, as a lamp; to blaze, as a flame.<br>3. v., Fig. To burn, as with jealousy or anger.<br> Papa helu loli"
a,"1. v., To burn, as a fire: ua a mai ke ahi, the fire burns; ua a mai ke ahi ma ka waha; the fire burned in their mouths.<br>2. v., To burn, as a lamp; to blaze, as a flame.<br>3. v., Fig. To burn, as with jealousy or anger.<br> Papa helu loli"
ā,"interjection, Lo; behold. An expression of surprise, disappointment, astonishment or admiration. It is similar in meaning to aia hoi, eia hoi, aia ka.<br> Papa helu loli"
ā,"interjection, Lo; behold. An expression of surprise, disappointment, astonishment or admiration. It is similar in meaning to aia hoi, eia hoi, aia ka.<br> Papa helu loli"
a,"preposition, Of; to; in connection with motion, e hoi oe a ka hale, return to the house, (hiki i is understood). Laieik. p. 12. Unto; at; belonging. It designates the properties of relation, possession and place; and is often synonymous with o, but generally distinct, giving another shade of meaning and implying a closer connection.<br> Nā Lepili <br> Tags: grammar <br> Papa helu loli"
a,"preposition, Of; to; in connection with motion, e hoi oe a ka hale, return to the house, (hiki i is understood). Laieik. p. 12. Unto; at; belonging. It designates the properties of relation, possession and place; and is often synonymous with o, but generally distinct, giving another shade of meaning and implying a closer connection.<br> Nā Lepili <br> Tags: grammar <br> Papa helu loli"
a,"1. n., The jawbone; the cheek bone: a luna, upper jaw; a lalo, lower jaw.<br>2. n., An instrument made of smooth bone formerly used for abortion. It was called the a oo, the piercing a; also koholua.<br>3. n., An instrument used for bleeding.<br>4. n., White spots that appear in poi when it is pounded.<br>5. n., A large sea bird often caught by natives; also called aaianuheakane (feathers white). Worshiped as an aumakua or guardian.<br>6. n., A small fish that bites at a hook; called also aakimakau.<br>7. n., The Hawaiian alphabet; also the first sheet on which it was printed.<br>8. n., Broken lava (probably so called from being burnt. See A, v.) : Ke a o Kaniku a me Napuuapele.<br> Nā Lepili <br> Tags: anatomy medicine fauna birds fish grammar geology <br> Papa helu loli"
a,"1. n., The jawbone; the cheek bone: a luna, upper jaw; a lalo, lower jaw.<br>2. n., An instrument made of smooth bone formerly used for abortion. It was called the a oo, the piercing a; also koholua.<br>3. n., An instrument used for bleeding.<br>4. n., White spots that appear in poi when it is pounded.<br>5. n., A large sea bird often caught by natives; also called aaianuheakane (feathers white). Worshiped as an aumakua or guardian.<br>6. n., A small fish that bites at a hook; called also aakimakau.<br>7. n., The Hawaiian alphabet; also the first sheet on which it was printed.<br>8. n., Broken lava (probably so called from being burnt. See A, v.) : Ke a o Kaniku a me Napuuapele.<br> Nā Lepili <br> Tags: anatomy medicine fauna birds fish grammar geology <br> Papa helu loli"
a,"conjunction, And; then; and when. When it connects verbs, it usually stands by itself; as, holo ka waa, a komo iho, the canoe sailed and sank. When it connects nouns, it is usually joined with me; as, haawi mai oia i ka ai a me ke kapa, he furnished food and clothing. A with me signifies and, and also, besides, together with, etc. When emphatic, it is merely a disjunctive. In narration, it frequently stands at the beginning of sentences or paragraphs, and merely refers to what has been said, without any very close connection with it. In many cases it is apparently euphonic or seems to answer no purpose, except as a preparatory sound to something that may follow; as, akahi no oukou a hele i keia ala, before you have passed this road.<br> Nā Lepili <br> Tags: grammar <br> Papa helu loli"
a,"conjunction, And; then; and when. When it connects verbs, it usually stands by itself; as, holo ka waa, a komo iho, the canoe sailed and sank. When it connects nouns, it is usually joined with me; as, haawi mai oia i ka ai a me ke kapa, he furnished food and clothing. A with me signifies and, and also, besides, together with, etc. When emphatic, it is merely a disjunctive. In narration, it frequently stands at the beginning of sentences or paragraphs, and merely refers to what has been said, without any very close connection with it. In many cases it is apparently euphonic or seems to answer no purpose, except as a preparatory sound to something that may follow; as, akahi no oukou a hele i keia ala, before you have passed this road.<br> Nā Lepili <br> Tags: grammar <br> Papa helu loli"
a,"adv., When; then; there; until. With verbs in a narrative tense, it signifies when, and when, etc.: as, a hiki mai ia, when he arrived. With nei it signifies a designation of place: as, mai a nei aku, from here (this place) onward. Until: as, noho oia malaila a make; he lived there until he died. (A nei is often written as one word, and then it signifies here, or the present place.)<br>adv., A when pronounced with a protracted sound, signifies a protracted period of time, or distance, or a long continued action: as, holo ae la ia a a hiki i ka aina kahiki; he sailed a long time, or a long distance, until he reached a foreign country.<br> Papa helu loli"
a,"adv., When; then; there; until. With verbs in a narrative tense, it signifies when, and when, etc.: as, a hiki mai ia, when he arrived. With nei it signifies a designation of place: as, mai a nei aku, from here (this place) onward. Until: as, noho oia malaila a make; he lived there until he died. (A nei is often written as one word, and then it signifies here, or the present place.)<br>adv., A when pronounced with a protracted sound, signifies a protracted period of time, or distance, or a long continued action: as, holo ae la ia a a hiki i ka aina kahiki; he sailed a long time, or a long distance, until he reached a foreign country.<br> Papa helu loli"
a,"adj., Fiery; burning: he lua a, a fiery pit.<br> Papa helu loli"
a,"adj., Fiery; burning: he lua a, a fiery pit.<br> Papa helu loli"
a,The first letter of the Hawaiian alphabet.<br> Nā Lepili <br> Tags: grammar <br> Papa helu loli
a,The first letter of the Hawaiian alphabet.<br> Nā Lepili <br> Tags: grammar <br> Papa helu loli
a,"1. v., To burn, as a fire: ua a mai ke ahi, the fire burns; ua a mai ke ahi ma ka waha; the fire burned in their mouths.<br>2. v., To burn, as a lamp; to blaze, as a flame.<br>3. v., Fig. To burn, as with jealousy or anger.<br> Papa helu loli"
a,"1. v., To burn, as a fire: ua a mai ke ahi, the fire burns; ua a mai ke ahi ma ka waha; the fire burned in their mouths.<br>2. v., To burn, as a lamp; to blaze, as a flame.<br>3. v., Fig. To burn, as with jealousy or anger.<br> Papa helu loli"
ā,"interjection, Lo; behold. An expression of surprise, disappointment, astonishment or admiration. It is similar in meaning to aia hoi, eia hoi, aia ka.<br> Papa helu loli"
ā,"interjection, Lo; behold. An expression of surprise, disappointment, astonishment or admiration. It is similar in meaning to aia hoi, eia hoi, aia ka.<br> Papa helu loli"
a,"preposition, Of; to; in connection with motion, e hoi oe a ka hale, return to the house, (hiki i is understood). Laieik. p. 12. Unto; at; belonging. It designates the properties of relation, possession and place; and is often synonymous with o, but generally distinct, giving another shade of meaning and implying a closer connection.<br> Nā Lepili <br> Tags: grammar <br> Papa helu loli"
a,"preposition, Of; to; in connection with motion, e hoi oe a ka hale, return to the house, (hiki i is understood). Laieik. p. 12. Unto; at; belonging. It designates the properties of relation, possession and place; and is often synonymous with o, but generally distinct, giving another shade of meaning and implying a closer connection.<br> Nā Lepili <br> Tags: grammar <br> Papa helu loli"
