word,definition
ʻAʻaka,"No base definition, only supplemental content.<br>Ridge, Waimea district, Kauaʻi.<br>Ancient surfing area, Lahaina, Maui.<br><br>Literally, roiled.<br><br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Kauaʻi Maui <br> Papa helu loli"
ʻAʻaka,"No base definition, only supplemental content.<br>Ridge, Waimea district, Kauaʻi.<br>Ancient surfing area, Lahaina, Maui.<br><br>Literally, roiled.<br><br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Kauaʻi Maui <br> Papa helu loli"
ʻAʻaka,"No base definition, only supplemental content.<br>Ridge, Waimea district, Kauaʻi.<br>Ancient surfing area, Lahaina, Maui.<br><br>Literally, roiled.<br><br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Kauaʻi Maui <br> Papa helu loli"
ʻAʻaka,"No base definition, only supplemental content.<br>Ridge, Waimea district, Kauaʻi.<br>Ancient surfing area, Lahaina, Maui.<br><br>Literally, roiled.<br><br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Kauaʻi Maui <br> Papa helu loli"
ʻAʻaka,"No base definition, only supplemental content.<br>Ridge, Waimea district, Kauaʻi.<br>Ancient surfing area, Lahaina, Maui.<br><br>Literally, roiled.<br><br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Kauaʻi Maui <br> Papa helu loli"
ʻAʻaka,"No base definition, only supplemental content.<br>Ridge, Waimea district, Kauaʻi.<br>Ancient surfing area, Lahaina, Maui.<br><br>Literally, roiled.<br><br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Kauaʻi Maui <br> Papa helu loli"
ʻAʻaka,"No base definition, only supplemental content.<br>Ridge, Waimea district, Kauaʻi.<br>Ancient surfing area, Lahaina, Maui.<br><br>Literally, roiled.<br><br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Kauaʻi Maui <br> Papa helu loli"
ʻAʻaka,"No base definition, only supplemental content.<br>Ridge, Waimea district, Kauaʻi.<br>Ancient surfing area, Lahaina, Maui.<br><br>Literally, roiled.<br><br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Kauaʻi Maui <br> Papa helu loli"
ʻAʻala,"Lane, park, street, and section 13 of Honolulu (map 6), Oʻahu. Literally, fragrant (said to be named for the sweet smell of nearby laundries; TM).<br> Nā Lepili <br> Tags: Oʻahu <br> Papa helu loli"
ʻAʻala,"Lane, park, street, and section 13 of Honolulu (map 6), Oʻahu. Literally, fragrant (said to be named for the sweet smell of nearby laundries; TM).<br> Nā Lepili <br> Tags: Oʻahu <br> Papa helu loli"
ʻAʻawa,"Ancient surfing area near Waiehu, West Maui.<br><br>Literally, wrasse fishes.<br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAʻawa,"Ancient surfing area near Waiehu, West Maui.<br><br>Literally, wrasse fishes.<br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAʻawa,"Ancient surfing area near Waiehu, West Maui.<br><br>Literally, wrasse fishes.<br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAʻawa,"Ancient surfing area near Waiehu, West Maui.<br><br>Literally, wrasse fishes.<br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAʻawa,"Ancient surfing area near Waiehu, West Maui.<br><br>Literally, wrasse fishes.<br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAʻawa,"Ancient surfing area near Waiehu, West Maui.<br><br>Literally, wrasse fishes.<br>References:<br><br>Finney and Houston 28.<br><br><br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAhana,"Street, Sheridan Tract, Honolulu, named for a Chinese merchant who lived there. (TM.)"
ʻĀhihi,"Point, Līhuʻe district, Kauaʻi.<br>Bay, Mākena qd., Maui.<br>Street, Kalihi Uka, Honolulu, Oʻahu.<br><br><br>Literally, entwined.<br><br> Nā Lepili <br> Tags: Kauaʻi Maui Oʻahu <br> Papa helu loli"
ʻAhina,"Street, Diamond Head, Honolulu, Oʻahu. Literally, gray.<br> Nā Lepili <br> Tags: Oʻahu <br> Papa helu loli"
ʻĀhinahina,"No base definition, only supplemental content.<br>Plain near Kīholo, Hawaiʻi.<br>Street, Pālolo, Honolulu, Oʻahu.<br><br>Literally, gray.<br> Nā Lepili <br> Tags: Hawaiʻi Oʻahu color <br> Papa helu loli"
Āhole,"Rock islet (0.15 acres, 40 feet elevation), Kīpahulu qd., East Maui.<br><br>Literally, Kuhlia sandvicensis (a fish).<br><br> Nā Lepili <br> Tags: Maui <br> Papa helu loli"
