word,definition
A,"I. Aole nui na inoa o na ia okoa i oleloia ma ka Baibala. Olelo mai o Mose, pono ke ai i na ia halo a me ka ia unahi no loko mai o ke kai a me ka loko a me ka muliwai; o na ia e ae, aole pono ke ai, Oihk. 11:9-12; Kan. 14:9, 10. Kaulana no ka Nile no ka maikai a me ka nui o kona ia, pela i ka wa kahiko, a pela i keia wa, Puk. 7:18-21; Nah. 11:5. Ma ka moanawai o Tiberia hoi he nui na ia, Luk. 5:5; Ioa. 21:6-11. Ua ai nui ia ka ia e na Iudaio, Mat. 7:10; ua loaa ma ke Kaiwaenakonua, Neh. 13:16, a maloko o Ioredane kekahi. Ua lawaia lakou me ka makau, Am. 4:2; me ke o, Iob. 41:7, me ka upena, Is. 19:8-10. O 'ka ia nui,' Iona 1:17, ka mea i ale iho ia Iona, he mano nui paha, he kohola paha. He ia nui, oia ke ano o ka olelo ma ka Hebera, a ma ka Helene hoi, Mat. 12:40. E nana KOHOLA. Olelo pinepine ia ka poe lawaia ma ka Baibala, a he poe lawaia ka nui o na lunaolelo. Hoolilo no Iesu ia lakou i 'mau lawaia kanaka,' Mat. 4:18-22."
A,"I. Aole nui na inoa o na ia okoa i oleloia ma ka Baibala. Olelo mai o Mose, pono ke ai i na ia halo a me ka ia unahi no loko mai o ke kai a me ka loko a me ka muliwai; o na ia e ae, aole pono ke ai, Oihk. 11:9-12; Kan. 14:9, 10. Kaulana no ka Nile no ka maikai a me ka nui o kona ia, pela i ka wa kahiko, a pela i keia wa, Puk. 7:18-21; Nah. 11:5. Ma ka moanawai o Tiberia hoi he nui na ia, Luk. 5:5; Ioa. 21:6-11. Ua ai nui ia ka ia e na Iudaio, Mat. 7:10; ua loaa ma ke Kaiwaenakonua, Neh. 13:16, a maloko o Ioredane kekahi. Ua lawaia lakou me ka makau, Am. 4:2; me ke o, Iob. 41:7, me ka upena, Is. 19:8-10. O 'ka ia nui,' Iona 1:17, ka mea i ale iho ia Iona, he mano nui paha, he kohola paha. He ia nui, oia ke ano o ka olelo ma ka Hebera, a ma ka Helene hoi, Mat. 12:40. E nana KOHOLA. Olelo pinepine ia ka poe lawaia ma ka Baibala, a he poe lawaia ka nui o na lunaolelo. Hoolilo no Iesu ia lakou i 'mau lawaia kanaka,' Mat. 4:18-22."
A,"I. Ma ke aue pau o ua olelo kanaka, oia ka hua mua ma ka Alepabeta. Ma ka olelo Hebera, ua kapaia keia hua, o Alepa; Pela hoi ma ka ka Heleue, o A, oia o Alepa ka hua mua, a o Omega ka hua hope. A nolaila mai ia wahi olelo a ka Haku, 'Owau ka Alepa a me ka Omega, ke kumu a me ka welau, ka mua a me ka hope'; pela kona hoike mai ana ia ia iho i kumu nana mai a nona hoi ana mea a pau, a me hona oia mau loa ana inehinei, i keia la, a mau loa aku no, Hoik. 1:8, 11; 21:6; 22:13. E nana hoi, Is. 44:6; 48:12; Kol. 1: 15-18. Ma ka olelo Hebera a me ka olelo Helene, o keia mau hua o ka pi-a-ba, lilo no lakou i mau hua helu hoi."
A,"I. Ma ke aue pau o ua olelo kanaka, oia ka hua mua ma ka Alepabeta. Ma ka olelo Hebera, ua kapaia keia hua, o Alepa; Pela hoi ma ka ka Heleue, o A, oia o Alepa ka hua mua, a o Omega ka hua hope. A nolaila mai ia wahi olelo a ka Haku, 'Owau ka Alepa a me ka Omega, ke kumu a me ka welau, ka mua a me ka hope'; pela kona hoike mai ana ia ia iho i kumu nana mai a nona hoi ana mea a pau, a me hona oia mau loa ana inehinei, i keia la, a mau loa aku no, Hoik. 1:8, 11; 21:6; 22:13. E nana hoi, Is. 44:6; 48:12; Kol. 1: 15-18. Ma ka olelo Hebera a me ka olelo Helene, o keia mau hua o ka pi-a-ba, lilo no lakou i mau hua helu hoi."
A,"I. Aole nui na inoa o na ia okoa i oleloia ma ka Baibala. Olelo mai o Mose, pono ke ai i na ia halo a me ka ia unahi no loko mai o ke kai a me ka loko a me ka muliwai; o na ia e ae, aole pono ke ai, Oihk. 11:9-12; Kan. 14:9, 10. Kaulana no ka Nile no ka maikai a me ka nui o kona ia, pela i ka wa kahiko, a pela i keia wa, Puk. 7:18-21; Nah. 11:5. Ma ka moanawai o Tiberia hoi he nui na ia, Luk. 5:5; Ioa. 21:6-11. Ua ai nui ia ka ia e na Iudaio, Mat. 7:10; ua loaa ma ke Kaiwaenakonua, Neh. 13:16, a maloko o Ioredane kekahi. Ua lawaia lakou me ka makau, Am. 4:2; me ke o, Iob. 41:7, me ka upena, Is. 19:8-10. O 'ka ia nui,' Iona 1:17, ka mea i ale iho ia Iona, he mano nui paha, he kohola paha. He ia nui, oia ke ano o ka olelo ma ka Hebera, a ma ka Helene hoi, Mat. 12:40. E nana KOHOLA. Olelo pinepine ia ka poe lawaia ma ka Baibala, a he poe lawaia ka nui o na lunaolelo. Hoolilo no Iesu ia lakou i 'mau lawaia kanaka,' Mat. 4:18-22."
A,"I. Aole nui na inoa o na ia okoa i oleloia ma ka Baibala. Olelo mai o Mose, pono ke ai i na ia halo a me ka ia unahi no loko mai o ke kai a me ka loko a me ka muliwai; o na ia e ae, aole pono ke ai, Oihk. 11:9-12; Kan. 14:9, 10. Kaulana no ka Nile no ka maikai a me ka nui o kona ia, pela i ka wa kahiko, a pela i keia wa, Puk. 7:18-21; Nah. 11:5. Ma ka moanawai o Tiberia hoi he nui na ia, Luk. 5:5; Ioa. 21:6-11. Ua ai nui ia ka ia e na Iudaio, Mat. 7:10; ua loaa ma ke Kaiwaenakonua, Neh. 13:16, a maloko o Ioredane kekahi. Ua lawaia lakou me ka makau, Am. 4:2; me ke o, Iob. 41:7, me ka upena, Is. 19:8-10. O 'ka ia nui,' Iona 1:17, ka mea i ale iho ia Iona, he mano nui paha, he kohola paha. He ia nui, oia ke ano o ka olelo ma ka Hebera, a ma ka Helene hoi, Mat. 12:40. E nana KOHOLA. Olelo pinepine ia ka poe lawaia ma ka Baibala, a he poe lawaia ka nui o na lunaolelo. Hoolilo no Iesu ia lakou i 'mau lawaia kanaka,' Mat. 4:18-22."
A,"I. Ma ke aue pau o ua olelo kanaka, oia ka hua mua ma ka Alepabeta. Ma ka olelo Hebera, ua kapaia keia hua, o Alepa; Pela hoi ma ka ka Heleue, o A, oia o Alepa ka hua mua, a o Omega ka hua hope. A nolaila mai ia wahi olelo a ka Haku, 'Owau ka Alepa a me ka Omega, ke kumu a me ka welau, ka mua a me ka hope'; pela kona hoike mai ana ia ia iho i kumu nana mai a nona hoi ana mea a pau, a me hona oia mau loa ana inehinei, i keia la, a mau loa aku no, Hoik. 1:8, 11; 21:6; 22:13. E nana hoi, Is. 44:6; 48:12; Kol. 1: 15-18. Ma ka olelo Hebera a me ka olelo Helene, o keia mau hua o ka pi-a-ba, lilo no lakou i mau hua helu hoi."
A,"I. Ma ke aue pau o ua olelo kanaka, oia ka hua mua ma ka Alepabeta. Ma ka olelo Hebera, ua kapaia keia hua, o Alepa; Pela hoi ma ka ka Heleue, o A, oia o Alepa ka hua mua, a o Omega ka hua hope. A nolaila mai ia wahi olelo a ka Haku, 'Owau ka Alepa a me ka Omega, ke kumu a me ka welau, ka mua a me ka hope'; pela kona hoike mai ana ia ia iho i kumu nana mai a nona hoi ana mea a pau, a me hona oia mau loa ana inehinei, i keia la, a mau loa aku no, Hoik. 1:8, 11; 21:6; 22:13. E nana hoi, Is. 44:6; 48:12; Kol. 1: 15-18. Ma ka olelo Hebera a me ka olelo Helene, o keia mau hua o ka pi-a-ba, lilo no lakou i mau hua helu hoi."
A,"I. Aole nui na inoa o na ia okoa i oleloia ma ka Baibala. Olelo mai o Mose, pono ke ai i na ia halo a me ka ia unahi no loko mai o ke kai a me ka loko a me ka muliwai; o na ia e ae, aole pono ke ai, Oihk. 11:9-12; Kan. 14:9, 10. Kaulana no ka Nile no ka maikai a me ka nui o kona ia, pela i ka wa kahiko, a pela i keia wa, Puk. 7:18-21; Nah. 11:5. Ma ka moanawai o Tiberia hoi he nui na ia, Luk. 5:5; Ioa. 21:6-11. Ua ai nui ia ka ia e na Iudaio, Mat. 7:10; ua loaa ma ke Kaiwaenakonua, Neh. 13:16, a maloko o Ioredane kekahi. Ua lawaia lakou me ka makau, Am. 4:2; me ke o, Iob. 41:7, me ka upena, Is. 19:8-10. O 'ka ia nui,' Iona 1:17, ka mea i ale iho ia Iona, he mano nui paha, he kohola paha. He ia nui, oia ke ano o ka olelo ma ka Hebera, a ma ka Helene hoi, Mat. 12:40. E nana KOHOLA. Olelo pinepine ia ka poe lawaia ma ka Baibala, a he poe lawaia ka nui o na lunaolelo. Hoolilo no Iesu ia lakou i 'mau lawaia kanaka,' Mat. 4:18-22."
A,"I. Aole nui na inoa o na ia okoa i oleloia ma ka Baibala. Olelo mai o Mose, pono ke ai i na ia halo a me ka ia unahi no loko mai o ke kai a me ka loko a me ka muliwai; o na ia e ae, aole pono ke ai, Oihk. 11:9-12; Kan. 14:9, 10. Kaulana no ka Nile no ka maikai a me ka nui o kona ia, pela i ka wa kahiko, a pela i keia wa, Puk. 7:18-21; Nah. 11:5. Ma ka moanawai o Tiberia hoi he nui na ia, Luk. 5:5; Ioa. 21:6-11. Ua ai nui ia ka ia e na Iudaio, Mat. 7:10; ua loaa ma ke Kaiwaenakonua, Neh. 13:16, a maloko o Ioredane kekahi. Ua lawaia lakou me ka makau, Am. 4:2; me ke o, Iob. 41:7, me ka upena, Is. 19:8-10. O 'ka ia nui,' Iona 1:17, ka mea i ale iho ia Iona, he mano nui paha, he kohola paha. He ia nui, oia ke ano o ka olelo ma ka Hebera, a ma ka Helene hoi, Mat. 12:40. E nana KOHOLA. Olelo pinepine ia ka poe lawaia ma ka Baibala, a he poe lawaia ka nui o na lunaolelo. Hoolilo no Iesu ia lakou i 'mau lawaia kanaka,' Mat. 4:18-22."
