word,definition
word,h. he huaolelo.
word,h. he huaolelo.
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
a,"A,p. he pilimua e like me he, hookekahi."
ake,"Ake, h. he eha, e like me ka eha o ka niho, a o ka lima paha i pepeia."
ake,"h. he eha e like me ka eha o ka niho, a o ka lima paha i pepeia."
ale,"Ale, h. he mea inu, ua like me ka bia a ikaika aku."
ale,"h. he mea inu, ua like me ka bia a ikaika aku."
alike,ha. like pu ma kekahi mau ano.
ape,"h. he keko, hat. e hoohalike."
e,ha. nui loa.
ewe,h. he hipawahine.
ha,"Ag-group, hai. e hoakoakoa, e hoohui, e huipu."
ha,"ha. ka mea hiki ke koaiia a ke hokakekakeia, ka mea wikiwiki i ka huhu, ka mea e hiki ke kukakukaia."
ha,ka. he ano puiwa.
hale,"ka. ikaika, puipui."
halo,"h. he luakalailani, ka ulaula powehiwehi e hoopuni ana i kekahi malamalama."
he,"pa. oia, kino kolu, kamakane."
he,"p. ke, ka, he hua olelo kuhikuhi o the."
hem,h. he pelu ma ka aoao o ka lole.
hem,hai. e pelu a humuhumu i ka aoao o ka lole.
hine,"pa. nan, nou, kau, kou, au, ou."
hoe,"h. he ookope, e mahiai ai."
hoe,hai. e eli me ke kope.
hole,"h. he lua, he nahae, he puka, he hamama."
hone,h. he puhaku no ka hookala ana.
hone,hai. e hookala ma ka hoana.
hope,h. ka makemake me ka manao lana.
hope,"hai. e makemake, e kali, e kakali."
hou,"pa. oe, ooe."
hue,h. he ano hooluu.
i,pa. owau.
k,h. ke ai i re mui.
kene,h. kekah.
lee,h. ka aoao o ka moku kahi makani ole.
lo,"hai. e hoomanao, e nana."
mai,"ina i hoopili mua ia keia leo i na huaolelo e, he ino kona ano."
make,"e hana, e kaohi."
make,he ano.
male,he kane.
mane,he lauoho loloa ma ka ai o ka lio.
mania,"h. ka huhu, ka hehena."
mile,"h. he mile, 320 roda, 5280 kapuai."
mine,"ha. ka'u, na'u, ko'u."
mine,"h. he lua, kahi e eli ai na minerala, oia na mea ano kala, keleawe, hao, lanahu a me na mea waiwai e ae maloko o ka honua."
mine,"hai. e eli no na minerala, e eli malalo o ke kumu o kekahi mea i mea e hina ai."
mole,"h. he puu iki paa moloko o ka ili, he puu uuku ma ka honua, he mea uuku ano iole."
mule,"h. he hoki, he hapa lio."
nape,"h. he ami o ka ai, ka hookuina ai."
no,"hl. aole; ha. aole kekahi, aole."
none,ha. aole kekahi.
nou,"h. he inon, he haiinoa."
o,k. Auwe!
oe,h. he manamana wawae.
oo,"hl. hoi, ken aku, oi aku, emi iho."
owe,hai. e noho aie ana.
pale,"ha. he keokeo ana ma ka ili e like me ka mea mai, olohe."
pane,h. he apana aniani.
papa,h. he inoa makuakane.
pea,h. he pi. mea kanu.
pie,"h. he p laoa i kalau pu ia me ka mea ona a aloko, he pai."
pine,"h. he laaa kaa, he laau paina."
pine,"hai. e hokii, e iini nui."
pole,"h ka iho o ka honua, he laau loloa aea he oa la."
pope,h ka pope o Roma.
puke,"hai. e luai, e hoowa."
puke,"h. e luai, e hoowa."
pule,ha. e ue me he keiki la.
puni,"he palapala hoomalu hale, hoo malu mokn."
une,"h. he leomele; hai. e meie hooune fuly ha. pono ke mele, kani maikai."
wili,"i. me, ma, i."
ripple,h. ka aleale ana o ka wai.
stalk,h. ke kumu o kekahi mea kanu.
stalk,hai e helo hoohanohano.
coarse,"ha. nui, manoanoa, aole makalii, kuaaina."
lean,"ha. kino ole, kaha ole."
lean,"hai. e hio aku, e hoohio."
ripple,h. ka aleale ana o ka wai.
stalk,h. ke kumu o kekahi mea kanu.
stalk,hai e helo hoohanohano.
coarse,"ha. nui, manoanoa, aole makalii, kuaaina."
lean,"ha. kino ole, kaha ole."
lean,"hai. e hio aku, e hoohio."
yes,hl. ae oia.
consent,h. ka ae ana.
grant,"e haawi aku, e ae aku."
grant,ka mea i aeia aku.
agree,"A-gree, hai. e kuikahi, e manao like, e komo iloko o ka manao hookahi, e hoolaulea, e hoolauna."
agree,"hai. e kuikahi, e manao like, e komo iloko o ka manao hookahi, e hoolaulea, e hoolauna."
let,"hai e ae aku, e kuai aole lilo loa."
confirm,"hai. e hoopaa, e hooiaio."
admit,"hai. e hookomo, e ae aku."
permit,hai. e ae i hanaia.
allow,"hai. e ae aku, ehoopono, e ae aku ma ka uku ana."
accept,hai. e lawe i ka mea i haa wiia.
admission,"h. ka mea i ae ia, ka hookomo ana, ka ae ana i kekahi e komo, ka ae ana i kahi mea i oleloia."
permission,h. he ae ana e hana.
sap,h. ka wai iloko o na mea ulu.
sap,hai. e kohi ilalo i mea hoohiolo.
saliva,"h. ke kuha, he wale o ka waha."
fine,"nani, maikai, makalii."
fine,he uku i kauia no ka hewa.
soft,"ha. palupalu, pepe, akahai, olu lu."
smooth,"ha. pahee, kalakala ole."
smooth,hai. e hana a pahee.
rise,"hai. e ala, e eueu, e hoea, e pii."
rise,"h. he ala ana, he eu ana, he pii ana."
rise,hai. e huki a paa iluna.
rise,h. e huki a paa iluna.
step,"hai e hele kuku, e kukulu i ke kia."
step,"h. he hele ku, he ku o ka wawae."
raise,"hai. e hapai iluna, e hoala iluna."
blight,"h. he mai, he oili wale."
upward,hl. ma kahi maluna ae.
contiguous,ha. pili ana.
next,"ha. like me nearest, kokoke loa mai, pili mai ana; h. ka mea ae."
next,hl. mahope ae.
lend,"hai, e haawi hlo ele ia hai."
pass,"hai. e hele ae, e hoohala i ka wa, e kau i kanawai."
pass,"h. he alahele, he palapala hoopu ka, he o ana i ka pahi."
wail,"h. he kanikau, he ue kumakena."
wail,hai. e ue kumakena.
prolong,lua. e hooloihi aku.
stretch,hai. e hooloihi aku ma ka huki ana.
mix,hai. e hui pu.
banana,h. he maia.
chant,h. he mele hookani olioli.
eagle,"h. he aeto, he manu nui."
eagle,"he aeto, he manu nui."
