word,definition
ʻAʻawa,"Fishing site, Mākena, Maui. At Nahuna Point, the north point of Mākena Bay.<br><br>Literally, wrasse fish.<br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAʻawa,"Fishing site, Mākena, Maui. At Nahuna Point, the north point of Mākena Bay.<br><br>Literally, wrasse fish.<br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAʻawa,"Fishing site, Mākena, Maui. At Nahuna Point, the north point of Mākena Bay.<br><br>Literally, wrasse fish.<br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAʻawa,"Fishing site, Mākena, Maui. At Nahuna Point, the north point of Mākena Bay.<br><br>Literally, wrasse fish.<br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAʻawa,"Fishing site, Mākena, Maui. At Nahuna Point, the north point of Mākena Bay.<br><br>Literally, wrasse fish.<br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
ʻAʻawa,"Fishing site, Mākena, Maui. At Nahuna Point, the north point of Mākena Bay.<br><br>Literally, wrasse fish.<br><br> Nā Lepili <br> Tags: Maui fish <br> Papa helu loli"
Āhole,"Island (.15 acres, 40 feet high), Kīpahulu, Maui. Adult Hawaiian flagtail fish (Kuhlia sandvicensis).<br> Nā Lepili <br> Tags: Maui <br> Papa helu loli"
ʻĀhua,"Reef, Hickam Air Force Base, Oʻahu. West of Hickam Harbor and off Fort Kamehameha housing. Remnant of the large reef that was dredged during the 1940s during the construction of the seaplane runways in Keʻehi Lagoon and at ʻĀhua Point, filled in the 1970s to accommodate the Reef Run-way, and dredged in the 1970s to construct the Hickam Harbor Channel. The remnant of the reef lies between Hickam Harbor Channel and Pearl Harbor Channel. Near shore the reef is a shallow tidal flat that is a popular fishing and reef-walking site.<br><br>Literally, heap.<br><br> Nā Lepili <br> Tags: Oʻahu <br> Papa helu loli"
Ako,"Channel, point, Kūʻau, Maui. During the early 1900s, an elderly man named Ako lived on Kūʻau Point. Fishermen named the point and a narrow channel through the rocks on the point after him. Also known as Kūʻau to windsurfers."
Alāla,"Fishing shrine, point, Kailua, Oʻahu. Point at the south end of Kailua Beach that separates Kailua and Lanikai. The point takes its name from the fishing shrine, a natural stone formation on the ridge above. Wailea, a companion fishing shrine, is located at the south end of Lanikai.<br><br>Literally, awakening.<br><br> Nā Lepili <br> Tags: Oʻahu <br> Papa helu loli"
ʻAlau,"Island (4.5 acres, 40 feet high), Haneoʻo, Maui. Off Koki Beach Park. Part of the Hawaiʻi State Seabird Sanctuary. Lit., many rocks, or dividing, branching."
ʻAleʻale,"Point, sea stack, south shore, Kahoʻolawe. Steep sea stack<br>connected to the point by a thin land bridge and the home of the last known kanaloa plants (Kanaloa kahoolawensis) on<br>Kahoʻolawe. Lit., ripple."
