word,definition
Word,"n. Olelo; hua-olelo. 2. The Word, ka Logou."
Word,"n. Olelo; hua-olelo. 2. The Word, ka Logou."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
A,"1. Kekahi. A dog ran, holo kekahi ilio. 2. He. It is a dog. he ilio ia."
Alike,Like a like.
Ana,Onaona; puloku.
Ane,Onaona; puloku.
Ane,Aulii.
Ape,"Āpe, v. E hana e like me k e keko. 2. E hoohalike aku ma Ke ano hoopilimeaai."
Awe,"Awe (aw), n. Ka ilihia o ka naau; ka weliweli o ka naau."
Eke,"E hoomahuahua; e hooloihi. Eke out a living, e hoomahuahua i na loaa."
Ela,Malamalama.
Ewa,Ola.
Ewe,Hipa wahine.
Hale,Ikaika; puipui.
Halo,Pona'hana'ha ; Lua hoana; luakalai.
Hana,puloku.
He,Ia; oia.
Helena,Malamalama.
Hem,Lepa.
Hem,E humu pelu.
Hoe,He ho; o-o kope.
Hole,He puka; he lua.
Hone,Pohaku hookala. SYN. whetstone.
Hope,Manaolana.
Hue,"1. Hooluu. SYN. color. 2, Wawa nui. SYN. clamor."
kahua,"n o ka oihana kalepa. He kahua. Railroad station, kahi e ku ai na kaa alanui hao. Station house, halewai. Kulana. SYN. standing."
Kawowo,kaioio. SYN. germinate rapidly.
Kikilia,or Kekila.
Kilipaki,Kaulana.
Kina,Hookolokoloia.
Kina,Ano like me John.
Kina,Ano like me Jane.
Lala,.
Lee,Aoao malalo o ka makani.
Lepeka,Onaona; puloku.
Lilia,Pua lilia.
Lo,Aia hoi! SYN. behold.
Lolena,.
Luka,Malamalama.
Luka,Nani.
Luke,Malamalama.
Lupe,"Ehu, lauoho ehu."
Maika,Owai i like me Jehova ?
Make,"1. E hana; e kukulu. SYN. construct. 2. E kaohi. SYN. compel. 3. E loaa. SYN. earn; gain. Make money, e loaa i dala. 4. To make a complaint, e waiho mai i kumu hoopii. 5. To make a calculation, e helu; e noonoo helu. 6. To make known, e hooakaka ; e hoolaha, 7. Lilo. SYN. become. A good hog will make a good man, e lilo ana ke keiki mai* kai i kanaka maikai. 8. Make choice of, e koho. SYN. choose. 9. Makefile with, e lawewale. 10. Make good, (a) E hooko. Make good a promise, e hooko i kaolelo. (b.) Make good a loss, e hoihol i ka poho. 11. Make light of, e manao ole aku. SYN. to he indifferent to."
Makehewa,"A Wretched business, he hana makehewa. 4. Paumaele. A wretched sinner, he kanaka paumaele."
Makini,Koa.
Male,He kane.
Mane,Hulu a-i' o na holoholona.
Me,pron. Ia'u.
Mile,He mile.
Mine,No'u; na'u; ko'u; ka'u.
Mine,"Lua eli waiwai. Gold mine, lua eli gula."
Mule,Hoki.
Nape,Ke ami o ka a-i
No,Aole.
Noa,Maha.
Noela,Hanauia ma ka la karikimaka.
None,Aole hookahi; aohe.
Nui,"Extensive preparations, hoomakaukau nui. Extensive fire, he ahi nui."
Oka,Koa lelelele.
Owe,E aie.
Owena,Koa opio.
Pale,Haikea; hakeakea.
Pale,1. He laau pa. 2. Wahi hoopuniia.
Pane,Apana aniani.
Papaia,Hei; milikana.
Paulina,Uuku.
Paumaele,"A wretched sinner, he kanaka paumaele."
Pea,He pi; hua ai.
